location,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million
Albania,ALB,01/10/2021,0,0.0,,,,0.0,0.0,,
Albania,ALB,01/11/2021,,,,,64,,,,22.0
Albania,ALB,01/12/2021,128,128.0,,,64,0.0,0.0,,22.0
Albania,ALB,01/13/2021,188,188.0,,60.0,63,0.01,0.01,,22.0
Albania,ALB,01/14/2021,266,266.0,,78.0,66,0.01,0.01,,23.0
Albania,ALB,01/15/2021,308,308.0,,42.0,62,0.01,0.01,,22.0
Albania,ALB,01/16/2021,369,369.0,,61.0,62,0.01,0.01,,22.0
Albania,ALB,01/17/2021,405,405.0,,36.0,58,0.01,0.01,,20.0
Albania,ALB,01/18/2021,447,447.0,,42.0,55,0.02,0.02,,19.0
Albania,ALB,01/19/2021,483,483.0,,36.0,51,0.02,0.02,,18.0
Albania,ALB,01/20/2021,519,519.0,,36.0,47,0.02,0.02,,16.0
Albania,ALB,01/21/2021,549,549.0,,30.0,40,0.02,0.02,,14.0
Albania,ALB,01/22/2021,,,,,34,,,,12.0
Albania,ALB,01/23/2021,,,,,26,,,,9.0
Albania,ALB,01/24/2021,,,,,21,,,,7.0
Albania,ALB,01/25/2021,,,,,15,,,,5.0
Albania,ALB,01/26/2021,,,,,9,,,,3.0
Albania,ALB,01/27/2021,,,,,4,,,,1.0
Albania,ALB,01/28/2021,,,,,,,,,
Albania,ALB,01/29/2021,,,,,,,,,
Albania,ALB,01/30/2021,,,,,,,,,
Albania,ALB,01/31/2021,,,,,,,,,
Albania,ALB,02/01/2021,,,,,,,,,
Albania,ALB,02/02/2021,550,549.0,1.0,,,0.02,0.02,0.0,
Albania,ALB,02/03/2021,,,,,12,,,,4.0
Albania,ALB,02/04/2021,,,,,24,,,,8.0
Albania,ALB,02/05/2021,,,,,35,,,,12.0
Albania,ALB,02/06/2021,,,,,47,,,,16.0
Albania,ALB,02/07/2021,,,,,59,,,,21.0
Albania,ALB,02/08/2021,,,,,71,,,,25.0
Albania,ALB,02/09/2021,1127,689.0,438.0,,82,0.04,0.02,0.02,28.0
Albania,ALB,02/10/2021,,,,,81,,,,28.0
Albania,ALB,02/11/2021,,,,,79,,,,27.0
Albania,ALB,02/12/2021,,,,,78,,,,27.0
Albania,ALB,02/13/2021,,,,,76,,,,26.0
Albania,ALB,02/14/2021,,,,,75,,,,26.0
Albania,ALB,02/15/2021,,,,,73,,,,25.0
Albania,ALB,02/16/2021,,,,,72,,,,25.0
Albania,ALB,02/17/2021,1701,1090.0,611.0,,72,0.06,0.04,0.02,25.0
Albania,ALB,02/18/2021,3049,2438.0,611.0,1348.0,254,0.11,0.08,0.02,88.0
Albania,ALB,02/19/2021,4177,,,1128.0,405,0.15,,,141.0
Algeria,DZA,01/29/2021,0,,,,,0.0,,,
Algeria,DZA,01/30/2021,30,,,30.0,30,0.0,,,1.0
Algeria,DZA,01/31/2021,,,,,1889,,,,43.0
Algeria,DZA,02/01/2021,,,,,2509,,,,57.0
Algeria,DZA,02/02/2021,,,,,2819,,,,64.0
Algeria,DZA,02/03/2021,,,,,3005,,,,69.0
Algeria,DZA,02/04/2021,,,,,3129,,,,71.0
Algeria,DZA,02/05/2021,,,,,3217,,,,73.0
Algeria,DZA,02/06/2021,,,,,3748,,,,85.0
Algeria,DZA,02/07/2021,,,,,3748,,,,85.0
Algeria,DZA,02/08/2021,,,,,3748,,,,85.0
Algeria,DZA,02/09/2021,,,,,3748,,,,85.0
Algeria,DZA,02/10/2021,,,,,3748,,,,85.0
Algeria,DZA,02/11/2021,,,,,3748,,,,85.0
Algeria,DZA,02/12/2021,,,,,3748,,,,85.0
Algeria,DZA,02/13/2021,,,,,3748,,,,85.0
Algeria,DZA,02/14/2021,,,,,3748,,,,85.0
Algeria,DZA,02/15/2021,,,,,3748,,,,85.0
Algeria,DZA,02/16/2021,,,,,3748,,,,85.0
Algeria,DZA,02/17/2021,,,,,3748,,,,85.0
Algeria,DZA,02/18/2021,,,,,3748,,,,85.0
Algeria,DZA,02/19/2021,75000,,,,3748,0.17,,,85.0
Andorra,AND,01/25/2021,576,576.0,,,,0.75,0.75,,
Andorra,AND,01/26/2021,,,,,66,,,,854.0
Andorra,AND,01/27/2021,,,,,66,,,,854.0
Andorra,AND,01/28/2021,,,,,66,,,,854.0
Andorra,AND,01/29/2021,,,,,66,,,,854.0
Andorra,AND,01/30/2021,,,,,66,,,,854.0
Andorra,AND,01/31/2021,,,,,66,,,,854.0
Andorra,AND,02/01/2021,1036,1036.0,,,66,1.34,1.34,,854.0
Andorra,AND,02/02/2021,,,,,60,,,,777.0
Andorra,AND,02/03/2021,,,,,55,,,,712.0
Andorra,AND,02/04/2021,,,,,50,,,,647.0
Andorra,AND,02/05/2021,,,,,44,,,,569.0
Andorra,AND,02/06/2021,,,,,39,,,,505.0
Andorra,AND,02/07/2021,,,,,34,,,,440.0
Andorra,AND,02/08/2021,,,,,28,,,,362.0
Andorra,AND,02/09/2021,,,,,28,,,,362.0
Andorra,AND,02/10/2021,1291,1291.0,,,28,1.67,1.67,,362.0
Andorra,AND,02/11/2021,,,,,48,,,,621.0
Andorra,AND,02/12/2021,1622,1622.0,,,68,2.1,2.1,,880.0
Andorra,AND,02/13/2021,,,,,74,,,,958.0
Andorra,AND,02/14/2021,,,,,81,,,,1048.0
Andorra,AND,02/15/2021,,,,,87,,,,1126.0
Andorra,AND,02/16/2021,,,,,94,,,,1217.0
Andorra,AND,02/17/2021,,,,,100,,,,1294.0
Andorra,AND,02/18/2021,,,,,87,,,,1126.0
Andorra,AND,02/19/2021,2141,2141.0,,,74,2.77,2.77,,958.0
Anguilla,AIA,02/04/2021,0,0.0,,,,0.0,0.0,,
Anguilla,AIA,02/05/2021,,,,,149,,,,9932.0
Anguilla,AIA,02/06/2021,,,,,149,,,,9932.0
Anguilla,AIA,02/07/2021,,,,,149,,,,9932.0
Anguilla,AIA,02/08/2021,,,,,149,,,,9932.0
Anguilla,AIA,02/09/2021,,,,,149,,,,9932.0
Anguilla,AIA,02/10/2021,,,,,149,,,,9932.0
Anguilla,AIA,02/11/2021,,,,,149,,,,9932.0
Anguilla,AIA,02/12/2021,,,,,149,,,,9932.0
Anguilla,AIA,02/13/2021,1341,1341.0,,,149,8.94,8.94,,9932.0
Anguilla,AIA,02/14/2021,2762,2762.0,,1421.0,331,18.41,18.41,,22064.0
Argentina,ARG,12/29/2020,700,,,,,0.0,,,
Argentina,ARG,12/30/2020,,,,,15656,,,,346.0
Argentina,ARG,12/31/2020,32013,,,,15656,0.07,,,346.0
Argentina,ARG,01/01/2021,,,,,11070,,,,245.0
Argentina,ARG,01/02/2021,,,,,8776,,,,194.0
Argentina,ARG,01/03/2021,,,,,7400,,,,164.0
Argentina,ARG,01/04/2021,39599,,,,6483,0.09,,,143.0
Argentina,ARG,01/05/2021,,,,,7984,,,,177.0
Argentina,ARG,01/06/2021,,,,,8173,,,,181.0
Argentina,ARG,01/07/2021,,,,,8363,,,,185.0
Argentina,ARG,01/08/2021,107542,,,,10519,0.24,,,233.0
Argentina,ARG,01/09/2021,,,,,11942,,,,264.0
Argentina,ARG,01/10/2021,,,,,13365,,,,296.0
Argentina,ARG,01/11/2021,,,,,14788,,,,327.0
Argentina,ARG,01/12/2021,,,,,14056,,,,311.0
Argentina,ARG,01/13/2021,166833,,,,13323,0.37,,,295.0
Argentina,ARG,01/14/2021,,,,,13320,,,,295.0
Argentina,ARG,01/15/2021,200759,,,,13317,0.44,,,295.0
Argentina,ARG,01/16/2021,,,,,12971,,,,287.0
Argentina,ARG,01/17/2021,,,,,12624,,,,279.0
Argentina,ARG,01/18/2021,,,,,12278,,,,272.0
Argentina,ARG,01/19/2021,,,,,11932,,,,264.0
Argentina,ARG,01/20/2021,247933,243539.0,4394.0,,11586,0.55,0.54,0.01,256.0
Argentina,ARG,01/21/2021,265724,249372.0,16352.0,17791.0,11704,0.59,0.55,0.04,259.0
Argentina,ARG,01/22/2021,279602,254456.0,25146.0,13878.0,11263,0.62,0.56,0.06,249.0
Argentina,ARG,01/23/2021,288064,258876.0,29188.0,8462.0,11124,0.64,0.57,0.06,246.0
Argentina,ARG,01/24/2021,292023,260036.0,31987.0,3959.0,10342,0.65,0.58,0.07,229.0
Argentina,ARG,01/25/2021,292386,260122.0,32264.0,363.0,9046,0.65,0.58,0.07,200.0
Argentina,ARG,01/26/2021,305880,266969.0,38911.0,13494.0,9626,0.68,0.59,0.09,213.0
Argentina,ARG,01/27/2021,318033,272323.0,45710.0,12153.0,10014,0.7,0.6,0.1,222.0
Argentina,ARG,01/28/2021,327999,276548.0,51451.0,9966.0,8896,0.73,0.61,0.11,197.0
Argentina,ARG,01/29/2021,344034,278451.0,65583.0,16035.0,9205,0.76,0.62,0.15,204.0
Argentina,ARG,01/30/2021,366384,281023.0,85361.0,22350.0,11189,0.81,0.62,0.19,248.0
Argentina,ARG,01/31/2021,,,,,11299,,,,250.0
Argentina,ARG,02/01/2021,375851,281577.0,94274.0,,11924,0.83,0.62,0.21,264.0
Argentina,ARG,02/02/2021,,,,,11475,,,,254.0
Argentina,ARG,02/03/2021,396562,284196.0,112366.0,,11218,0.88,0.63,0.25,248.0
Argentina,ARG,02/04/2021,444018,297717.0,146301.0,47456.0,16574,0.98,0.66,0.32,367.0
Argentina,ARG,02/05/2021,,,,,16238,,,,359.0
Argentina,ARG,02/06/2021,471383,307501.0,163882.0,,15000,1.04,0.68,0.36,332.0
Argentina,ARG,02/07/2021,501152,319316.0,181836.0,29769.0,18576,1.11,0.71,0.4,411.0
Argentina,ARG,02/08/2021,511582,322318.0,189264.0,10430.0,19390,1.13,0.71,0.42,429.0
Argentina,ARG,02/09/2021,513178,322975.0,190203.0,1596.0,18139,1.14,0.71,0.42,401.0
Argentina,ARG,02/10/2021,535303,337772.0,197531.0,22125.0,19820,1.18,0.75,0.44,439.0
Argentina,ARG,02/11/2021,572928,362649.0,210279.0,37625.0,18416,1.27,0.8,0.47,407.0
Argentina,ARG,02/12/2021,591632,368023.0,223609.0,18704.0,19133,1.31,0.81,0.49,423.0
Argentina,ARG,02/13/2021,606245,371629.0,234616.0,14613.0,19266,1.34,0.82,0.52,426.0
Argentina,ARG,02/14/2021,609605,372122.0,237483.0,3360.0,15493,1.35,0.82,0.53,343.0
Argentina,ARG,02/15/2021,609791,372181.0,237610.0,186.0,14030,1.35,0.82,0.53,310.0
Argentina,ARG,02/16/2021,611169,373253.0,237916.0,1378.0,13999,1.35,0.83,0.53,310.0
Argentina,ARG,02/17/2021,612322,374002.0,238320.0,1153.0,11003,1.35,0.83,0.53,243.0
Argentina,ARG,02/18/2021,635583,392399.0,243184.0,23261.0,8951,1.41,0.87,0.54,198.0
Argentina,ARG,02/19/2021,668654,414958.0,253696.0,33071.0,11003,1.48,0.92,0.56,243.0
Argentina,ARG,02/20/2021,707148,445614.0,261534.0,38494.0,14415,1.56,0.99,0.58,319.0
Argentina,ARG,02/21/2021,720267,456929.0,263338.0,13119.0,15809,1.59,1.01,0.58,350.0
Argentina,ARG,02/22/2021,722234,458822.0,263412.0,1967.0,16063,1.6,1.02,0.58,355.0
Argentina,ARG,02/23/2021,746615,481689.0,264926.0,24381.0,19349,1.65,1.07,0.59,428.0
Argentina,ARG,02/24/2021,780455,513394.0,267061.0,33840.0,24019,1.73,1.14,0.59,531.0
Australia,AUS,02/15/2021,0,0.0,,,,0.0,0.0,,
Australia,AUS,02/16/2021,0,0.0,,0.0,,0.0,0.0,,
Australia,AUS,02/17/2021,0,0.0,,0.0,,0.0,0.0,,
Australia,AUS,02/18/2021,0,0.0,,0.0,,0.0,0.0,,
Australia,AUS,02/19/2021,0,0.0,,0.0,,0.0,0.0,,
Australia,AUS,02/20/2021,0,0.0,,0.0,,0.0,0.0,,
Australia,AUS,02/21/2021,0,0.0,,0.0,,0.0,0.0,,
Australia,AUS,02/22/2021,20,20.0,,20.0,3,0.0,0.0,,0.0
Australia,AUS,02/23/2021,2879,2879.0,,2859.0,411,0.01,0.01,,16.0
Australia,AUS,02/24/2021,6908,6908.0,,4029.0,987,0.03,0.03,,39.0
Austria,AUT,01/10/2021,,6784.0,,,,,0.08,,
Austria,AUT,01/11/2021,,11559.0,,,,,0.13,,
Austria,AUT,01/12/2021,,13172.0,,,,,0.15,,
Austria,AUT,01/13/2021,21259,20064.0,,,,0.24,0.22,,
Austria,AUT,01/14/2021,47087,29359.0,,25828.0,6457,0.52,0.33,,717.0
Austria,AUT,01/15/2021,67473,39751.0,,20386.0,9243,0.75,0.44,,1026.0
Austria,AUT,01/16/2021,76066,50402.0,,8593.0,9134,0.84,0.56,,1014.0
Austria,AUT,01/17/2021,82005,55450.0,,5939.0,8678,0.91,0.62,,964.0
Austria,AUT,01/18/2021,88973,60708.0,304.0,6968.0,9673,0.99,0.67,0.0,1074.0
Austria,AUT,01/19/2021,97389,70474.0,1034.0,8416.0,10876,1.08,0.78,0.01,1208.0
Austria,AUT,01/20/2021,127354,86888.0,2007.0,29965.0,15156,1.41,0.96,0.02,1683.0
Austria,AUT,01/21/2021,152843,105038.0,3214.0,25489.0,15108,1.7,1.17,0.04,1677.0
Austria,AUT,01/22/2021,163692,121216.0,3540.0,10849.0,13746,1.82,1.35,0.04,1526.0
Austria,AUT,01/23/2021,168700,132105.0,4243.0,5008.0,13233,1.87,1.47,0.05,1469.0
Austria,AUT,01/24/2021,171416,135249.0,4289.0,2716.0,12773,1.9,1.5,0.05,1418.0
Austria,AUT,01/25/2021,177179,137044.0,4306.0,5763.0,12601,1.97,1.52,0.05,1399.0
Austria,AUT,01/26/2021,187606,146587.0,4346.0,10427.0,12888,2.08,1.63,0.05,1431.0
Austria,AUT,01/27/2021,191749,153859.0,5126.0,4143.0,9199,2.13,1.71,0.06,1021.0
Austria,AUT,01/28/2021,198091,163806.0,5633.0,6342.0,6464,2.2,1.82,0.06,718.0
Austria,AUT,01/29/2021,208878,174262.0,7157.0,10787.0,6455,2.32,1.93,0.08,717.0
Austria,AUT,01/30/2021,220647,183628.0,13551.0,11769.0,7421,2.45,2.04,0.15,824.0
Austria,AUT,01/31/2021,224792,185291.0,15207.0,4145.0,7625,2.5,2.06,0.17,847.0
Austria,AUT,02/01/2021,227802,186479.0,15866.0,3010.0,7232,2.53,2.07,0.18,803.0
Austria,AUT,02/02/2021,241258,189926.0,19062.0,13456.0,7665,2.68,2.11,0.21,851.0
Austria,AUT,02/03/2021,252707,194287.0,28233.0,11449.0,8708,2.81,2.16,0.31,967.0
Austria,AUT,02/04/2021,262079,198912.0,39329.0,9372.0,9141,2.91,2.21,0.44,1015.0
Austria,AUT,02/05/2021,277431,202160.0,50669.0,15352.0,9793,3.08,2.24,0.56,1087.0
Austria,AUT,02/06/2021,284578,208144.0,62123.0,7147.0,9133,3.16,2.31,0.69,1014.0
Austria,AUT,02/07/2021,289954,210239.0,66621.0,5376.0,9309,3.22,2.33,0.74,1034.0
Austria,AUT,02/08/2021,298195,212062.0,71135.0,8241.0,10056,3.31,2.35,0.79,1117.0
Austria,AUT,02/09/2021,311221,215592.0,78852.0,13026.0,9995,3.46,2.39,0.88,1110.0
Austria,AUT,02/10/2021,329881,219286.0,90983.0,18660.0,11025,3.66,2.43,1.01,1224.0
Austria,AUT,02/11/2021,343069,224467.0,106450.0,13188.0,11570,3.81,2.49,1.18,1285.0
Austria,AUT,02/12/2021,365414,229317.0,122349.0,22345.0,12569,4.06,2.55,1.36,1396.0
Austria,AUT,02/13/2021,368766,236728.0,136564.0,3352.0,12027,4.09,2.63,1.52,1335.0
Austria,AUT,02/14/2021,374034,241795.0,141922.0,5268.0,12011,4.15,2.68,1.58,1334.0
Austria,AUT,02/15/2021,402986,242625.0,143889.0,28952.0,14970,4.47,2.69,1.6,1662.0
Austria,AUT,02/16/2021,418055,247553.0,151477.0,15069.0,15262,4.64,2.75,1.68,1695.0
Austria,AUT,02/17/2021,444836,253854.0,160094.0,26781.0,16422,4.94,2.82,1.78,1823.0
Austria,AUT,02/18/2021,466029,266191.0,174350.0,21193.0,17566,5.17,2.96,1.94,1950.0
Austria,AUT,02/19/2021,486888,277204.0,184366.0,20859.0,17353,5.41,3.08,2.05,1927.0
Austria,AUT,02/20/2021,498476,288601.0,193620.0,11588.0,18530,5.53,3.2,2.15,2057.0
Austria,AUT,02/21/2021,508066,298199.0,195539.0,9590.0,19147,5.64,3.31,2.17,2126.0
Austria,AUT,02/22/2021,519338,305333.0,197941.0,11272.0,16622,5.77,3.39,2.2,1846.0
Austria,AUT,02/23/2021,535870,312624.0,201848.0,16532.0,16831,5.95,3.47,2.24,1869.0
Austria,AUT,02/24/2021,556506,323716.0,207148.0,20636.0,15953,6.18,3.59,2.3,1771.0
Azerbaijan,AZE,01/17/2021,0,0.0,,,,0.0,0.0,,
Azerbaijan,AZE,01/18/2021,,,,,3250,,,,321.0
Azerbaijan,AZE,01/19/2021,,,,,3250,,,,321.0
Azerbaijan,AZE,01/20/2021,,,,,3250,,,,321.0
Azerbaijan,AZE,01/21/2021,,,,,3250,,,,321.0
Azerbaijan,AZE,01/22/2021,,,,,3250,,,,321.0
Azerbaijan,AZE,01/23/2021,,,,,3250,,,,321.0
Azerbaijan,AZE,01/24/2021,,,,,3250,,,,321.0
Azerbaijan,AZE,01/25/2021,,,,,3250,,,,321.0
Azerbaijan,AZE,01/26/2021,,,,,3250,,,,321.0
Azerbaijan,AZE,01/27/2021,,,,,3250,,,,321.0
Azerbaijan,AZE,01/28/2021,,,,,3250,,,,321.0
Azerbaijan,AZE,01/29/2021,,,,,3250,,,,321.0
Azerbaijan,AZE,01/30/2021,,,,,3250,,,,321.0
Azerbaijan,AZE,01/31/2021,,,,,3250,,,,321.0
Azerbaijan,AZE,02/01/2021,,,,,3250,,,,321.0
Azerbaijan,AZE,02/02/2021,,,,,3250,,,,321.0
Azerbaijan,AZE,02/03/2021,,,,,3250,,,,321.0
Azerbaijan,AZE,02/04/2021,,,,,3250,,,,321.0
Azerbaijan,AZE,02/05/2021,,,,,3250,,,,321.0
Azerbaijan,AZE,02/06/2021,65000,65000.0,,,3250,0.64,0.64,,321.0
Bahrain,BHR,12/23/2020,38965,38965.0,,,,2.29,2.29,,
Bahrain,BHR,12/24/2020,50071,50071.0,,11106.0,11106,2.94,2.94,,6527.0
Bahrain,BHR,12/25/2020,50543,50543.0,,472.0,5789,2.97,2.97,,3402.0
Bahrain,BHR,12/26/2020,51556,51556.0,,1013.0,4197,3.03,3.03,,2467.0
Bahrain,BHR,12/27/2020,53614,53614.0,,2058.0,3662,3.15,3.15,,2152.0
Bahrain,BHR,12/28/2020,55014,55014.0,,1400.0,3210,3.23,3.23,,1886.0
Bahrain,BHR,12/29/2020,56041,56041.0,,1027.0,2846,3.29,3.29,,1673.0
Bahrain,BHR,12/30/2020,57317,57317.0,,1276.0,2622,3.37,3.37,,1541.0
Bahrain,BHR,12/31/2020,58643,58643.0,,1326.0,1225,3.45,3.45,,720.0
Bahrain,BHR,01/01/2021,59351,59351.0,,708.0,1258,3.49,3.49,,739.0
Bahrain,BHR,01/02/2021,60097,60097.0,,746.0,1220,3.53,3.53,,717.0
Bahrain,BHR,01/03/2021,60689,60689.0,,592.0,1011,3.57,3.57,,594.0
Bahrain,BHR,01/04/2021,61612,61612.0,,923.0,943,3.62,3.62,,554.0
Bahrain,BHR,01/05/2021,63893,63893.0,,2281.0,1122,3.75,3.75,,659.0
Bahrain,BHR,01/06/2021,68472,68472.0,,4579.0,1594,4.02,4.02,,937.0
Bahrain,BHR,01/07/2021,72239,72239.0,,3767.0,1942,4.25,4.25,,1141.0
Bahrain,BHR,01/08/2021,78291,78291.0,,6052.0,2706,4.6,4.6,,1590.0
Bahrain,BHR,01/09/2021,84157,84157.0,,5866.0,3437,4.95,4.95,,2020.0
Bahrain,BHR,01/10/2021,89250,89250.0,,5093.0,4080,5.25,5.25,,2398.0
Bahrain,BHR,01/11/2021,92598,92598.0,,3348.0,4427,5.44,5.44,,2602.0
Bahrain,BHR,01/12/2021,97776,97776.0,,5178.0,4840,5.75,5.75,,2844.0
Bahrain,BHR,01/13/2021,101363,101363.0,,3587.0,4699,5.96,5.96,,2762.0
Bahrain,BHR,01/14/2021,109566,109566.0,,8203.0,5332,6.44,6.44,,3134.0
Bahrain,BHR,01/15/2021,122819,122819.0,,13253.0,6361,7.22,7.22,,3738.0
Bahrain,BHR,01/16/2021,137159,137159.0,,14340.0,7572,8.06,8.06,,4450.0
Bahrain,BHR,01/17/2021,141563,141563.0,,4404.0,7473,8.32,8.32,,4392.0
Bahrain,BHR,01/18/2021,142831,142831.0,,1268.0,7176,8.39,8.39,,4217.0
Bahrain,BHR,01/19/2021,143596,143596.0,,765.0,6546,8.44,8.44,,3847.0
Bahrain,BHR,01/20/2021,144130,144130.0,,534.0,6110,8.47,8.47,,3591.0
Bahrain,BHR,01/21/2021,,,,,5457,,,,3207.0
Bahrain,BHR,01/22/2021,,,,,4084,,,,2400.0
Bahrain,BHR,01/23/2021,,,,,2555,,,,1502.0
Bahrain,BHR,01/24/2021,,,,,2445,,,,1437.0
Bahrain,BHR,01/25/2021,,,,,2784,,,,1636.0
Bahrain,BHR,01/26/2021,165953,165953.0,,,3194,9.75,9.75,,1877.0
Bahrain,BHR,01/27/2021,167731,167731.0,,1778.0,3372,9.86,9.86,,1982.0
Bahrain,BHR,01/28/2021,169440,169440.0,,1709.0,3096,9.96,9.96,,1819.0
Bahrain,BHR,01/29/2021,169810,169810.0,,370.0,2629,9.98,9.98,,1545.0
Bahrain,BHR,01/30/2021,170433,170433.0,,623.0,2199,10.02,10.02,,1292.0
Bahrain,BHR,01/31/2021,171568,171568.0,,1135.0,1841,10.08,10.08,,1082.0
Bahrain,BHR,02/01/2021,172912,172912.0,,1344.0,1514,10.16,10.16,,890.0
Bahrain,BHR,02/02/2021,174075,174075.0,,1163.0,1160,10.23,10.23,,682.0
Bahrain,BHR,02/03/2021,175094,175094.0,,1019.0,1052,10.29,10.29,,618.0
Bahrain,BHR,02/04/2021,177233,177233.0,,2139.0,1113,10.42,10.42,,654.0
Bahrain,BHR,02/05/2021,179550,179550.0,,2317.0,1391,10.55,10.55,,817.0
Bahrain,BHR,02/06/2021,182543,182543.0,,2993.0,1730,10.73,10.73,,1017.0
Bahrain,BHR,02/07/2021,191406,191406.0,,8863.0,2834,11.25,11.25,,1666.0
Bahrain,BHR,02/08/2021,201116,201116.0,,9710.0,4029,11.82,11.82,,2368.0
Bahrain,BHR,02/09/2021,212940,212940.0,,11824.0,5552,12.51,12.51,,3263.0
Bahrain,BHR,02/10/2021,219595,219595.0,,6655.0,6357,12.91,12.91,,3736.0
Bahrain,BHR,02/11/2021,224919,224919.0,,5324.0,6812,13.22,13.22,,4003.0
Bahrain,BHR,02/12/2021,232540,232540.0,,7621.0,7570,13.67,13.67,,4449.0
Bahrain,BHR,02/13/2021,242260,242260.0,,9720.0,8531,14.24,14.24,,5014.0
Bahrain,BHR,02/14/2021,248775,248775.0,,6515.0,8196,14.62,14.62,,4817.0
Bahrain,BHR,02/15/2021,250946,250946.0,,2171.0,7119,14.75,14.75,,4184.0
Bahrain,BHR,02/16/2021,252990,252990.0,,2044.0,5721,14.87,14.87,,3362.0
Bahrain,BHR,02/17/2021,257580,257580.0,,4590.0,5426,15.14,15.14,,3189.0
Bahrain,BHR,02/18/2021,263422,263422.0,,5842.0,5500,15.48,15.48,,3232.0
Bahrain,BHR,02/19/2021,268273,268273.0,,4851.0,5105,15.77,15.77,,3000.0
Bahrain,BHR,02/20/2021,271749,271749.0,,3476.0,4213,15.97,15.97,,2476.0
Bahrain,BHR,02/21/2021,274960,274960.0,,3211.0,3741,16.16,16.16,,2199.0
Bahrain,BHR,02/22/2021,278222,278222.0,,3262.0,3897,16.35,16.35,,2290.0
Bahrain,BHR,02/23/2021,281425,281425.0,,3203.0,4062,16.54,16.54,,2387.0
Bahrain,BHR,02/24/2021,284948,284948.0,,3523.0,3910,16.75,16.75,,2298.0
Bangladesh,BGD,01/26/2021,0,0.0,,,,0.0,0.0,,
Bangladesh,BGD,01/27/2021,26,26.0,,26.0,26,0.0,0.0,,0.0
Bangladesh,BGD,01/28/2021,567,567.0,,541.0,284,0.0,0.0,,2.0
Bangladesh,BGD,01/29/2021,,,,,1209,,,,7.0
Bangladesh,BGD,01/30/2021,,,,,1671,,,,10.0
Bangladesh,BGD,01/31/2021,,,,,1949,,,,12.0
Bangladesh,BGD,02/01/2021,,,,,2134,,,,13.0
Bangladesh,BGD,02/02/2021,,,,,2266,,,,14.0
Bangladesh,BGD,02/03/2021,,,,,2700,,,,16.0
Bangladesh,BGD,02/04/2021,,,,,3059,,,,19.0
Bangladesh,BGD,02/05/2021,,,,,3059,,,,19.0
Bangladesh,BGD,02/06/2021,,,,,3059,,,,19.0
Bangladesh,BGD,02/07/2021,31160,31160.0,,,3059,0.02,0.02,,19.0
Bangladesh,BGD,02/08/2021,,,,,13205,,,,80.0
Bangladesh,BGD,02/09/2021,179318,179318.0,,,23351,0.11,0.11,,142.0
Bangladesh,BGD,02/10/2021,337769,337769.0,,158451.0,45549,0.21,0.21,,277.0
Bangladesh,BGD,02/11/2021,,,,,64108,,,,389.0
Bangladesh,BGD,02/12/2021,,,,,82667,,,,502.0
Bangladesh,BGD,02/13/2021,736680,736680.0,,,101226,0.45,0.45,,615.0
Bangladesh,BGD,02/14/2021,906033,906033.0,,169353.0,124982,0.55,0.55,,759.0
Bangladesh,BGD,02/15/2021,1132711,1132711.0,,226678.0,146782,0.69,0.69,,891.0
Bangladesh,BGD,02/16/2021,1359613,1359613.0,,226902.0,168614,0.83,0.83,,1024.0
Bangladesh,BGD,02/17/2021,1586368,1586368.0,,226755.0,178371,0.96,0.96,,1083.0
Bangladesh,BGD,02/18/2021,1848313,1848313.0,,261945.0,196796,1.12,1.12,,1195.0
Bangladesh,BGD,02/19/2021,,,,,194555,,,,1181.0
Bangladesh,BGD,02/20/2021,2082877,2082877.0,,,192314,1.26,1.26,,1168.0
Bangladesh,BGD,02/21/2021,,,,,184212,,,,1119.0
Bangladesh,BGD,02/22/2021,2308157,2308157.0,,,167921,1.4,1.4,,1020.0
Bangladesh,BGD,02/23/2021,2491053,2491053.0,,182896.0,161634,1.51,1.51,,981.0
Bangladesh,BGD,02/24/2021,2673038,2673038.0,,181985.0,155239,1.62,1.62,,943.0
Barbados,BRB,02/15/2021,4490,4490.0,,,,1.56,1.56,,
Barbados,BRB,02/16/2021,6683,6683.0,,2193.0,2193,2.33,2.33,,7631.0
Barbados,BRB,02/17/2021,9115,9115.0,,2432.0,2312,3.17,3.17,,8045.0
Barbados,BRB,02/18/2021,11494,11494.0,,2379.0,2335,4.0,4.0,,8125.0
Barbados,BRB,02/19/2021,14411,14411.0,,2917.0,2480,5.01,5.01,,8630.0
Barbados,BRB,02/20/2021,15837,15837.0,,1426.0,2269,5.51,5.51,,7896.0
Barbados,BRB,02/21/2021,16544,16544.0,,707.0,2009,5.76,5.76,,6991.0
Barbados,BRB,02/22/2021,19089,19089.0,,2545.0,2086,6.64,6.64,,7259.0
Barbados,BRB,02/23/2021,22037,22037.0,,2948.0,2193,7.67,7.67,,7631.0
Belarus,BLR,12/28/2020,0,0.0,,,,0.0,0.0,,
Belarus,BLR,12/29/2020,,,,,403,,,,43.0
Belarus,BLR,12/30/2020,,,,,403,,,,43.0
Belarus,BLR,12/31/2020,,,,,403,,,,43.0
Belarus,BLR,01/01/2021,,,,,403,,,,43.0
Belarus,BLR,01/02/2021,,,,,403,,,,43.0
Belarus,BLR,01/03/2021,,,,,403,,,,43.0
